city,body_type,transmission,ownerno,brand,model,modelyear,price,insurance_validity,fuel_type,seats,kms_driven,mileage
Bangalore,Hatchback,Manual,3,Maruti,Maruti Celerio,2015,4.0,Third Party insurance,Petrol,5,120000.0,23.1
Bangalore,SUV,Manual,2,Ford,Ford Ecosport,2018,8.11,Comprehensive,Petrol,5,32706.0,17.0
Bangalore,Hatchback,Manual,1,Tata,Tata Tiago,2018,5.85,Comprehensive,Petrol,5,11949.0,23.84
Bangalore,Sedan,Manual,1,Hyundai,Hyundai Xcent,2014,4.62,Comprehensive,Petrol,5,17794.0,19.1
Bangalore,SUV,Manual,1,Maruti,Maruti SX4 S Cross,2015,7.9,Third Party insurance,Diesel,5,60000.0,23.65
Bangalore,SUV,Manual,1,Jeep,Jeep Compass,2020,19.0,Third Party insurance,Diesel,5,20000.0,17.1
Bangalore,Hatchback,Manual,1,Datsun,Datsun GO,2017,3.45,Comprehensive,Petrol,5,37772.0,20.63
Bangalore,SUV,Automatic,1,Hyundai,Hyundai Venue,2021,12.0,Third Party insurance,Petrol,5,30000.0,18.15
Bangalore,Sedan,Automatic,1,Maruti,Maruti Ciaz,2018,9.6,Comprehensive,Petrol,5,37000.0,20.28
Bangalore,Hatchback,Manual,1,Tata,Tata Tiago,2017,5.85,Comprehensive,Petrol,5,11949.0,23.84
Bangalore,Hatchback,Manual,1,Maruti,Maruti Baleno,2018,6.9,Third Party insurance,Petrol,5,50000.0,21.4
Bangalore,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2019,6.82,Third Party insurance,Petrol,5,24887.0,18.9
Bangalore,Hatchback,Automatic,1,Honda,Honda Jazz,2018,8.25,Comprehensive,Petrol,5,23000.0,18.2
Bangalore,Hatchback,Automatic,1,Tata,Tata Tiago,2018,5.95,Comprehensive,Petrol,5,48928.0,23.84
Bangalore,SUV,Manual,3,Mahindra,Mahindra XUV500,2014,6.9,Comprehensive,Diesel,7,108862.0,15.1
Bangalore,SUV,Manual,1,Jeep,Jeep Compass,2018,13.5,Third Party insurance,Diesel,5,80000.0,17.1
Bangalore,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,55.95,Comprehensive,Diesel,5,16000.0,18.9
Bangalore,Hatchback,Manual,2,Hyundai,Hyundai i20,2014,5.21,Comprehensive,Diesel,5,65376.0,21.27
Bangalore,SUV,Manual,1,Tata,Tata Nexon,2022,10.05,Third Party insurance,Petrol,5,10000.0,17.33
Bangalore,Sedan,Manual,2,Honda,Honda City,2016,7.75,Comprehensive,Petrol,5,67000.0,17.8
Bangalore,Sedan,Automatic,3,BMW,BMW 5 Series,2011,22.0,Third Party insurance,Diesel,5,100000.0,18.48
Bangalore,Hatchback,Manual,1,Maruti,Maruti Swift,2016,5.82,Comprehensive,Petrol,5,18083.0,22.38
Bangalore,SUV,Manual,1,Renault,Renault Duster,2020,10.9,Third Party insurance,Petrol,5,30000.0,16.42
Bangalore,Hatchback,Manual,2,Tata,Tata Tiago,2016,4.57,Comprehensive,Petrol,5,57634.0,23.84
Bangalore,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,49.0,Third Party insurance,Petrol,5,50000.0,7.81
Bangalore,Sedan,Manual,1,Honda,Honda City,2015,5.5,Third Party insurance,Petrol,5,110000.0,17.4
Bangalore,Hatchback,Automatic,1,Hyundai,Hyundai Santro,2018,5.7,Comprehensive,Petrol,5,23447.0,20.3
Bangalore,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,2009,2.2,Third Party insurance,LPG,5,30000.0,13.45
Bangalore,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,41.45,Comprehensive,Petrol,5,33000.0,15.0
Bangalore,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,8.61,Third Party,Diesel,7,87667.0,15.1
Bangalore,Sedan,Automatic,2,Audi,Audi A4,2016,17.85,Third Party insurance,Diesel,5,40000.0,17.11
Bangalore,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,8.03,Comprehensive,Diesel,7,79012.0,15.1
Bangalore,SUV,Manual,1,Jeep,Jeep Compass,2021,25.65,Comprehensive,Diesel,5,31344.0,17.1
Bangalore,Sedan,Manual,1,Hyundai,Hyundai Xcent,2018,6.74,Third Party insurance,Petrol,5,50000.0,20.14
Bangalore,Hatchback,Manual,1,Maruti,Maruti Wagon R,2015,3.49,Comprehensive,Petrol,5,12434.0,20.51
Bangalore,MUV,Manual,2,Maruti,Maruti Ertiga,2019,10.5,Third Party insurance,Petrol,7,60000.0,19.34
Bangalore,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,44.25,Comprehensive,Diesel,5,12000.0,12.6
Bangalore,Hatchback,Manual,2,Maruti,Maruti Wagon R,2015,4.06,Comprehensive,Petrol,5,40987.0,20.51
Bangalore,Sedan,Automatic,1,BMW,BMW 5 Series,2020,49.65,Zero Dep,Petrol,5,18157.0,15.56
Bangalore,SUV,Manual,3,Toyota,Toyota Fortuner,2011,11.0,Third Party insurance,Diesel,7,120000.0,11.5
Bangalore,SUV,Automatic,2,Renault,Renault Duster,2020,11.0,Third Party insurance,Diesel,5,40000.0,19.87
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,5.94,Comprehensive,Petrol,5,89667.0,18.6
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,7.1,Third Party insurance,Diesel,5,120000.0,22.54
Bangalore,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,6.92,Zero Dep,Petrol,5,56997.0,21.4
Bangalore,Sedan,Manual,1,Hyundai,Hyundai Elantra,2013,6.5,Third Party insurance,Petrol,5,120000.0,16.3
Bangalore,Sedan,Automatic,1,Audi,Audi A6,2015,20.9,Third Party insurance,Diesel,5,59000.0,18.53
Bangalore,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,4.11,Zero Dep,Petrol,5,18835.0,22.05
Bangalore,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,6.5,Third Party insurance,Diesel,7,120000.0,12.05
Bangalore,Hatchback,Automatic,1,Mini,Mini 3 DOOR,2016,36.75,Comprehensive,Petrol,4,40000.0,17.33
Bangalore,Hatchback,Manual,1,Tata,Tata Tiago,2019,6.1,Comprehensive,Petrol,5,60932.0,23.84
Bangalore,SUV,Automatic,2,Kia,Kia Seltos,2020,16.75,Comprehensive,Petrol,5,33539.0,16.5
Bangalore,Hatchback,Manual,2,Tata,Tata Tiago,2018,5.3,Comprehensive,Petrol,5,66837.0,23.84
Bangalore,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,79.9,Third Party,Diesel,5,400.0,18.9
Bangalore,Hatchback,Manual,2,Maruti,Maruti Alto,2008,2.5,Third Party insurance,Petrol,5,60000.0,19.7
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai i20,2019,7.15,Third Party insurance,Petrol,5,44285.0,18.6
Bangalore,SUV,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,35.0,Third Party insurance,Diesel,7,100000.0,11.3
Bangalore,SUV,Automatic,1,Tata,Tata New Safari,2021,22.5,Comprehensive,Diesel,6,25000.0,14.08
Bangalore,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,6.25,Comprehensive,Petrol,5,36735.0,18.9
Bangalore,SUV,Automatic,1,Audi,Audi Q7,2015,26.95,Comprehensive,Diesel,7,79000.0,12.07
Bangalore,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,6.5,Third Party insurance,Diesel,8,120000.0,12.05
Bangalore,Hatchback,Automatic,1,Renault,Renault KWID,2022,5.5,Third Party insurance,Petrol,5,10000.0,22.0
Bangalore,SUV,Manual,1,Tata,Tata Nexon,2018,8.25,Comprehensive,Diesel,5,53645.0,21.5
Bangalore,Hatchback,Manual,2,Hyundai,Hyundai Getz,2006,2.2,Third Party insurance,Petrol,5,100000.0,15.3
Bangalore,Hatchback,Automatic,1,Maruti,Maruti Celerio,2014,4.28,Comprehensive,Petrol,5,53982.0,26.68
Bangalore,Sedan,Manual,1,Skoda,Skoda Rapid,2014,6.95,Third Party insurance,Diesel,5,110000.0,21.14
Bangalore,SUV,Manual,2,Ford,Ford Ecosport,2019,9.3,Third Party insurance,Petrol,5,37741.0,15.9
